,Zipcode,Latitude,Longitude
0,10001,40.75,-74.0
1,10002,40.71,-73.99
2,10003,40.73,-73.99
3,10004,40.69,-74.02
4,10005,40.71,-74.01
5,10006,40.71,-74.01
6,10007,40.71,-74.01
7,10009,40.73,-73.98
8,10010,40.74,-73.98
9,10011,40.74,-74.0
10,10012,40.73,-74.0
11,10013,40.72,-74.0
12,10014,40.73,-74.01
13,10016,40.75,-73.98
14,10017,40.75,-73.97
15,10018,40.76,-73.99
16,10019,40.77,-73.99
17,10020,40.76,-73.98
18,10021,40.77,-73.96
19,10022,40.76,-73.97
20,10023,40.78,-73.98
21,10024,40.8,-73.97
22,10025,40.8,-73.97
23,10026,40.8,-73.95
24,10027,40.81,-73.95
25,10028,40.78,-73.95
26,10029,40.79,-73.94
27,10030,40.82,-73.94
28,10031,40.83,-73.95
29,10032,40.84,-73.94
30,10033,40.85,-73.93
31,10034,40.87,-73.92
32,10035,40.8,-73.93
33,10036,40.76,-73.99
34,10037,40.81,-73.94
35,10038,40.71,-74.0
36,10039,40.83,-73.94
37,10040,40.86,-73.93
38,10044,40.76,-73.95
39,10065,40.76,-73.96
40,10069,40.78,-73.99
41,10075,40.77,-73.95
42,10103,40.76,-73.98
43,10110,40.75,-73.98
44,10111,40.76,-73.98
45,10112,40.76,-73.98
46,10115,40.81,-73.96
47,10119,40.75,-73.99
48,10128,40.78,-73.95
49,10152,40.76,-73.97
50,10153,40.76,-73.97
51,10154,40.76,-73.97
52,10162,40.77,-73.95
53,10165,40.75,-73.98
54,10167,40.75,-73.97
55,10168,40.75,-73.98
56,10169,40.75,-73.98
57,10170,40.75,-73.98
58,10171,40.76,-73.97
59,10172,40.76,-73.97
60,10173,40.75,-73.98
61,10174,40.75,-73.98
62,10177,40.76,-73.98
63,10199,40.75,-74.0
64,10271,40.71,-74.01
65,10278,40.72,-74.0
66,10279,40.71,-74.01
67,10280,40.71,-74.02
68,10282,40.72,-74.02
69,10301,40.63,-74.09
70,10302,40.63,-74.14
71,10303,40.63,-74.17
72,10304,40.61,-74.09
73,10305,40.6,-74.07
74,10306,40.58,-74.14
75,10307,40.51,-74.24
76,10308,40.55,-74.15
77,10309,40.53,-74.22
78,10310,40.63,-74.12
79,10311,40.61,-74.18
