id,zipcode,latitude,longitude,saleprice,totalcrime,rank,rankStars,rent,marketindex,totalincome
1,10001,40.75,-74.0,2003600,201,314,3,3450.0,0.644425052023897,2127995
2,10002,40.71,-73.99,985200,175,422.4,2.4,3125.0,0.852520641739948,2033619
3,10003,40.73,-73.99,1666000,176,6,5,3850.0,1.16600657850574,6229147
4,10004,40.69,-74.02,1113700,19,461,2,4110.0,1.32912666979929,904779
5,10005,40.71,-74.01,1164600,22,,,3992.5,4.9654292810633,5371221
6,10006,40.71,-74.01,943800,6,,,3500.0,8.30167147747869,428551
7,10007,40.71,-74.01,2711900,45,,,5595.0,4.09411290863932,1733784
8,10009,40.73,-73.98,1151900,101,,,3450.0,0.947170571255958,2336842
9,10010,40.74,-73.98,1718700,81,0,0,3497.5,1.84399543532255,3472481
10,10011,40.74,-74.0,1675900,128,,,3800.0,1.73793381217695,7536603
11,10012,40.73,-74.0,2498200,108,,,3447.5,1.93126132778412,2720880
12,10013,40.72,-74.0,2969300,125,751,0,5400.0,5.75417869369672,4935026
13,10014,40.73,-74.01,1886400,118,,,3500.0,4.31764784856011,4930162
14,10016,40.75,-73.98,1030300,91,,,3495.0,1.81982949587165,8814856
15,10017,40.75,-73.97,1014100,48,,,3200.0,3.27314224340471,4126925
16,10019,40.77,-73.99,1270600,158,14,5,3600.0,4.29818084178022,6108825
17,10021,40.77,-73.96,1572400,33,,,3395.0,1.78358058669531,11877178
18,10022,40.76,-73.97,1308100,117,,,3500.0,2.34342485064107,10328745
19,10023,40.78,-73.98,1398800,101,,,3797.5,1.40900852520642,10861855
20,10025,40.8,-73.97,1080800,198,474,2,3445.0,3.39128683627576,6184796
21,10026,40.8,-73.95,951500,111,283.42857142857144,1.1428571428571428,2595.0,7.31758072095053,1008610
22,10027,40.81,-73.95,1068700,222,232.25,0.875,2696.0,7.91434517016849,1417654
23,10028,40.78,-73.95,1509800,61,,,2912.5,1.22037994227026,9092931
24,10029,40.79,-73.94,797600,197,362.2857142857143,1.1428571428571428,3247.5,8.90447741155937,1736681
25,10030,40.82,-73.94,883200,80,133.2,1.2,1785.0,8.45136604685507,478156
26,10032,40.84,-73.94,721400,117,0,0,1895.0,,1014325
27,10035,40.8,-73.93,854400,183,129.8,0.2,1997.0,6.95576290528294,609558
28,10036,40.76,-73.99,1104400,178,,,3399.0,4.42505202389743,3729634
29,10038,40.71,-74.0,1030300,66,,,3400.0,1.73726253608109,1446450
30,10044,40.76,-73.95,990400,4,,,,5.03859837551185,351563
31,10065,40.76,-73.96,1627500,55,,,4825.0,6.40464523058334,7060114
32,10075,40.77,-73.95,1154000,27,,,2700.0,6.02805934080687,5912074
33,10128,40.78,-73.95,1244300,66,,,3000.0,0.637712291065315,10972659
34,10280,40.71,-74.02,875300,2,,,3600.0,2.80660535678324,794352
35,10301,40.63,-74.09,559900,109,405,3,,4.2760287306169,1103924
36,10302,40.63,-74.14,425600,43,465,2,,4.50896153587971,365038
37,10303,40.63,-74.17,371100,75,,,,5.22185674968114,495884
38,10304,40.61,-74.09,540100,77,0,0,,6.6751694972142,1218307
39,10305,40.6,-74.07,543000,69,,,2300.0,8.04860038934014,1103047
40,10306,40.58,-74.14,552600,63,,,2300.0,5.88507753238907,1763456
41,10307,40.51,-74.24,576200,29,,,,8.5681680875344,533530
42,10308,40.55,-74.15,527300,32,,,,7.62838155333289,943098
43,10309,40.53,-74.22,579900,34,,,,7.15781701013627,1145489
44,10310,40.63,-74.12,512800,68,,,,7.7357857286702,632212
45,10312,40.55,-74.18,541100,35,,,,7.28670202054105,2167264
46,10314,40.6,-74.17,528200,114,,,2100.0,6.0502114519702,2619150
47,10461,40.85,-73.84,508300,119,40.333333333333336,5,1800.0,8.99308585621266,1105759
48,10462,40.84,-73.86,153400,118,70.5,4.5,1506.5,7.9351547291401,1495011
